項次,行業分類,發票日期,發票號碼,廠商名稱,統一編號,品名,數量,單價,品項小計,未稅金額(整筆),營業稅額(整筆),含稅總計(整筆),備註
38,超級市場,2026-07-24,EM-11223316,好市多內湖店,97438102,西雅圖即品拿鐵咖啡(100入),3,749,"2,247","5,577",279,"5,856",員工餐飲福利大宗常態採購
39,超級市場,2026-07-25,EM-11223317,Mia C'bon 信義店,54731024,日本有機靜岡綠茶粉,4,350,"1,400","3,010",150,"3,160",高階外賓商務接待進口茶點
40,超級市場,2026-07-25,EM-11223317,Mia C'bon 信義店,54731024,法國進口精緻馬卡龍禮盒,2,880,"1,760","3,010",150,"3,160",高階外賓商務接待進口茶點
41,超級市場,2026-07-26,EM-11223318,大潤發中崙店,22094301,冷藏美國特選牛排肉片,5,599,"2,995","6,129",306,"6,435",第三季同仁中秋烤肉聯誼食材
42,超級市場,2026-07-26,EM-11223318,大潤發中崙店,22094301,台灣優質冷藏豬梅花肉片,8,220,"1,760","6,129",306,"6,435",第三季同仁中秋烤肉聯誼食材
43,超級市場,2026-07-26,EM-11223318,大潤發中崙店,22094301,極鮮冷凍大白蝦(盒裝),6,280,"1,680","6,129",306,"6,435",第三季同仁中秋烤肉聯誼食材
44,超級市場,2026-07-28,EM-11223319,city'super 遠東都會,16892105,摩德納義大利巴薩米克醋,2,"1,250","2,500","4,971",249,"5,220",商務往來公關頂級禮盒
45,超級市場,2026-07-28,EM-11223319,city'super 遠東都會,16892105,特級初榨冷壓橄欖油,4,680,"2,720","4,971",249,"5,220",商務往來公關頂級禮盒
46,超級市場,2026-07-30,EM-11223320,糖巢進口食品超市,43921045,日本熱銷厚切洋芋片,20,65,"1,300","2,524",126,"2,650",跨部門創新工作坊下午茶點心
47,超級市場,2026-07-30,EM-11223320,糖巢進口食品超市,43921045,韓國原裝進口泡菜海苔,30,45,"1,350","2,524",126,"2,650",跨部門創新工作坊下午茶點心
