項次,發票日期,發票號碼,廠商名稱,統一編號,品名,數量,單價,小計,未稅金額(整筆),營業稅額(整筆),含稅總計(整筆),備註
35,2026-06-18,DM-88291044,大戶屋民權店,28491034,炭烤法華魚定食,3,400,"1,200","2,362",118,"2,480",行銷部績效達標慶功
36,2026-06-20,DM-88291045,迷客夏大安店,53721094,大甲芋頭鮮奶(M),10,75,750,"1,048",52,"1,100",客戶來訪茶點招待
37,2026-06-20,DM-88291045,迷客夏大安店,53721094,焙香綠茶(L),10,35,350,"1,048",52,"1,100",客戶來訪茶點招待
38,2026-06-21,DM-88291046,王品牛排中山北店,84483055,王品牛排套餐,6,"1,590","9,540","9,086",454,"9,540",年度優秀員工表揚餐敘
39,2026-06-22,DM-88291047,胖老爹美式炸雞內湖店,42910482,5號全家餐(8塊雞),4,329,"1,316","1,596",80,"1,676",週五週年慶活動點心
40,2026-06-22,DM-88291047,胖老爹美式炸雞內湖店,42910482,波浪薯條,8,45,360,"1,596",80,"1,676",週五週年慶活動點心
41,2026-06-24,DM-88291048,雙月食品社青島店,54721034,蛤蜊燉雞湯,8,190,"1,520","1,852",93,"1,945",高階主管健康餐敘
42,2026-06-24,DM-88291048,雙月食品社青島店,54721034,滷肉飯,5,40,200,"1,852",93,"1,945",高階主管健康餐敘
43,2026-06-24,DM-88291048,雙月食品社青島店,54721034,乾拌油飯,5,45,225,"1,852",93,"1,945",高階主管健康餐敘
44,2026-06-25,DM-88291049,可不可熟成紅茶忠孝店,64921035,熟成紅茶(L),30,35,"1,050","1,929",96,"2,025",全公司季度大會飲品
45,2026-06-25,DM-88291049,可不可熟成紅茶忠孝店,64921035,白玉歐蕾(L),15,65,975,"1,929",96,"2,025",全公司季度大會飲品
46,2026-06-27,DM-88291050,三商巧福建國店,21222455,原汁牛肉麵餐,8,185,"1,480","1,600",80,"1,680",盤點落後同仁加班餐
47,2026-06-27,DM-88291050,三商巧福建國店,21222455,芝麻牛蒡絲,5,40,200,"1,600",80,"1,680",盤點落後同仁加班餐
48,2026-06-29,DM-88291051,點點心微風信義店,43891024,豬仔流沙包,10,138,"1,380","3,048",152,"3,200",產品發表會慶功宴
49,2026-06-29,DM-88291051,點點心微風信義店,43891024,香煎蘿蔔糕,10,108,"1,080","3,048",152,"3,200",產品發表會慶功宴
50,2026-06-29,DM-88291051,點點心微風信義店,43891024,韭黃鮮蝦腸粉,5,148,740,"3,048",152,"3,200",產品發表會慶功宴
